aakkosellinen	الفبایی
valkaista	سفید شدن بوسیله شستن با وسایل شیمیایی ، سفیدکردن ، ماده ای که برای سفید کردن(هرچیزی)بکار رود, بی رنگ کردن, سفیدکردن ، سفیدشدن
valkaistua	سفیدکردن ، سفیدشدن
valkaisu	سفید شدن بوسیله شستن با وسایل شیمیایی ، سفیدکردن ، ماده ای که برای سفید کردن(هرچیزی)بکار رود
valkaisuaine	سفیدگر ، شییی یا کسیکه چیزی راسفید میکند
valkea	فاصله یاجای سفیدوخالی ، جای ننوشته ، سفیدی ، ورقه سفید ، ورقه پوچ, سفید ، سفیدی ، سپیده ، سفید شدن ، سفید کردن
valko-	سفید ، سفیدی ، سپیده ، سفید شدن ، سفید کردن
valkoinen	سفید ، سفیدی ، سپیده ، سفید شدن ، سفید کردن
valkosipuli	سیر
vallankumous	بر خیزش ، طغیان ، شورش ، فتنه ، قیام, طغیان ، سرکشی ، شورش ، تمرد, شورش یا طغیان کردن ، اظهار تنفر کردن ، طغیان ، شورش ، بهم خوردگی ، انقلا ب ، شوریدن, طالع ، درحال ترقی یا صعود, شورش ، طغیان ، قیام ، برخاست ، بلوا ، برخیزش
vallanpitj t	تاسیس ، استقرار ، تشکیل ، بنا ، برقراری ، بنگاه ، موسسه ، دسته کارکنان ، برپایی
vallata	اختصاص دادن ، برای خود برداشتن ، ضبط کردن ، درخور ، مناسب ، مقتضی, پیروزی یافتن بر ، فتح کردن ، تسخیر کردن, بتصرف اوردن ، ربون ، قاپیدن ، توقیف کردن ، دچار حمله (مرض وغیره) شدن ، درک کردن
vallaton	نا فرمان ، سرکش ، رام نشدنی ، تعلیم نا پذیر, غیرقابل جلوگیری ، کنترل ناپذیر ، غیرقابل نظارت, غیرقابل کنترل ، غیر قابل اداره ، وحشی ، لجام گسیخته, بی لجام ، مطلق ، ازاد ، نامحدود ، بی بند و بار ، ازاد
vallattomuus	فرار و اختقا از ترس توقیف ، جفتک زنی ، فراراز زندگی دشوار
valli	بارو ، استحکامات ، دارای استحکامات کردن ، برج و بارو ساختن
vallihauta	خندق ، خاکریز ، خندق کندن
vallitseva	چیره ، مسلط ، حکمفرما ، نافذ ، غالب ، برجسته ، نمایان ، عمده ، مشرف ، متعادل ، مقتدر ، مافوق ، برتر
valloittaa	اختصاص دادن ، برای خود برداشتن ، ضبط کردن ، درخور ، مناسب ، مقتضی, پیروزی یافتن بر ، فتح کردن ، تسخیر کردن, بتصرف اوردن ، ربون ، قاپیدن ، توقیف کردن ، دچار حمله (مرض وغیره) شدن ، درک کردن
valmentaja	کالسکه ، واگن راه اهن ، مربی ورزش ، رهبری عملیات ورزشی را کردن ، معلمی کردن, فرهیختار
valmis	, انجام شده ، وقوع یافته, بالا ی ، روی ، بالا ی سر ، بر فراز ، ان طرف ، درسرتاسر ، دربالا ، بسوی دیگر ، متجاوز از ، بالا یی ، رویی ، بیرونی ، شفا یافتن ، پایان یافتن ، به انتها رسیدن ، پیشوندی بمعنی زیادو زیاده و بیش, اماده کردن ، مهیا کردن ، حاضر کردن ، اماده, ازمیان ، از طریق ، بواسطه ، در ظرف ، سرتاسر
valmisruoka	اغذیه حاضر ، مغازه اغذیه فروشی
valmistaa	اشپز ، پختن, استادانه درست شده ، بزحمت درست شده ، به زحمت ساختن ، دارای جزءیات ، بادقت شرح دادن, ساختن ، بوجود اوردن ، درست کردن ، تصنیف کردن ، خلق کردن ، باعث شدن ، وادار یامجبور کردن ، تاسیس کردن ، گاییدن ، ساختمان ، ساخت ، سرشت ، نظیر ، شبیه, ساختن ، جعل کردن ، تولید کردن ، ساخت ، مصنوع ، تولید, پستاکردن ، مهیا ساختن ، مجهز کردن ، اماده شدن ، ساختن, فراوردن ، تولید کردن ، محصول ، اراءه دادن ، زاییدن, اماده کردن ، مهیا کردن ، حاضر کردن ، اماده
valmistaa ruokaa	اشپز ، پختن, کار گذاشتن ، درست کردن ، پابرجا کردن ، نصب کردن ، محکم کردن ، استوارکردن ، سفت کردن ، جادادن ، چشم دوختن به ، تعیین کردن ، قراردادن ، بحساب کسی رسیدن ، تنبیه کردن ، ثابت شدن ، ثابت ماندن ، مستقر شدن ، گیر ، حیص وبیص ، تنگنا ، مواد مخدره ، افیون, پستاکردن ، مهیا ساختن ، مجهز کردن ، اماده شدن ، ساختن, اماده کردن ، مهیا کردن ، حاضر کردن ، اماده
valmistautuminen	برنامه ریزی ، طرح ریزی, پستایش ، امادش ، تهیه ، تدارک ، تهیه مقدمات ، اقدام مقدماتی ، اماده سازی ، امادگی
valmiste	حاصلضرب ، فراورده ، محصول
valmistettu	ساخته شده ، مصنوع ، ساختگی ، تربیت شده
valmistunut	زاج ، زاج سفید ، زاغ, فارغ التحصیل ، دانش اموخته, ، انجام شده ، وقوع یافته
valo	تابیدن ، برافروختن ، تاب امدن ، قرمز شدن ، در تب و تاب بودن ، مشتعل بودن ، نگاه سوزان کردن ، تابش ، تاب ، برافروختگی ، محبت ، گرمی, فروغ ، روشنایی ، نور ، اتش ، کبریت ، لحاظ ، جنبه ، اشکار کردن ، اتش زدن ، مشتعل شدن ، ضعیف ، خفیف ، اهسته ,اندک ,اسان ,کم قیمت ,قلیل ,مختصر ,فرار ,هوس امیز ,وارسته ,بی عفت ,هوس باز ,خل ,سرگرم کننده ,غیرجدی ,باررا سبک کردن ,تخفیف دادن ,فرودامدن ,واقع شدن ,وفوع یافتن ,سر رسیدن ,رخ دادن, تابناکی ، پدیده نورافشانی جسمی پس از قرار گرفتن درمعرض تابش اشعه ، شب تابی
valoisuus	تشعشع ، روشنایی
valokuva	درمعرض گذاری ، اشکاری ، افشاء ، نمایش ، عکس ، عکس برداشتن از ، عکسبرداری کردن
valokuvaaja	عکاس ، عکس بردار
valokuvata	عکس ، عکس برداشتن از ، عکسبرداری کردن, درکردن (گلوله وغیره) ، رها کردن (از کمان وغیره) ، پرتاب کردن ، زدن ، گلوله زدن ، رها شدن ، امپول زدن ، فیلمبرداری کردن ، عکسبرداری کردن ، درد کردن ، سوزش داشتن ، جوانه زدن ، انشعاب ، رویش انشعابی ، رویش شاخه ، درد ، حرکت تند وچابک ، رگه معدن, بشکن ، گسیختن ، قاپیدن ، گاز ناگهانی سگ ، قزن قفلی ، گیره فنری ، لقمه ، یک گاز ، مهر زنی ، قالب زنی ، چفت ، قفل کیف وغیره ، عجله ، شتابزدگی ، ناگهانی ، بی مقدمه ، گاز گرفتن ، قاپیدن ، چسبیدن به ، قاپ زدن ، سخن نیش دار گفتن ، عوعو کردن
valos	درقالب قرار دادن ، بشکل دراوردن ، انداختن ، طرح کردن ,معین کردن (رل بازیگر) ، پخش کردن (رل میان بازیگران) ، پراکندن ، ریختن بطور اسم صدر) ، مهره ریزی ، طاس اندازی ، قالب ، طرح ، گچ گیری ، افکندن
valta	قدرت ، توان ، برق
valta	توانایی ، زور ، قدرت ، نیرو ، انرژی, قدرت ، توان ، برق
valtaisa	سترگ ، کلا ن ، گنده ، تنومند ، بزرگ جثه, پهناور ، وسیع ، بزرگ ، زیاد ، عظیم ، بیکران
valtakatu	شاهراه ، بزرگراه ، راه
valtakirja	سند عندالمطالبه ، گواهی کردن ، تضمین کردن ، گواهی ، حک
valtakunnallinen	ملی ، قومی ، وابسته به قوم یاملتی ، تبعه ، شهروند
valtakunta	قلمرو سلطان ، متصرفات ، مملکت ، ناحیه, توضیح دادن ، جزء به جزء شرح دادن ، اظهار داشتن ، اظهارکردن ، تعیین کردن ، حال ، , چگونگی ، کیفیت ، دولت ، استان ، ملت ، جمهوری ، کشور ، ایالت ، کشوری ، دولتی.حال
valtameri	اقیانوس
valtava	بزرگ ، عظیم ، کبیر ، مهم ، هنگفت ، زیاد ، تومند ، متعدد ، ماهر ، بصیر ، ابستن ، طولا نی, سترگ ، کلا ن ، گنده ، تنومند ، بزرگ جثه, پهناور ، وسیع ، بزرگ ، زیاد ، عظیم ، بیکران
valtikka	عصای سلطنتی ، قدرت یا اقتدار سلطنتی ، گرزه ، دارای قدرت واختیارات سلطنتی بودن
valtio	کشور ، دیار ، بیرون شهر ، دهات ، ییلا ق, ملت ، قوم ، امت ، خانواده ، طایفه ، کشور, توضیح دادن ، جزء به جزء شرح دادن ، اظهار داشتن ، اظهارکردن ، تعیین کردن ، حال ، , چگونگی ، کیفیت ، دولت ، استان ، ملت ، جمهوری ، کشور ، ایالت ، کشوری ، دولتی.حال
valtioliitto	فدراسیون
valtuus	قدرت ، توانایی ، اختیار ، اجازه ، اعتبار ، نفوذ ، مدرک یا ماخذی از کتاب معتبریا سندی ، نویسنده ء معتبر ، منبع صحیح و موثق ، اولیاء امور, اجازه ، اختیار, فرمان ، فتوای کلیسایی ، سوگند ، تصویب ، جواز ، تایید رسمی ، دارای مجوز قانونی دانستن ، ضمانت اجرایی معین کردن ، ضمانت اجرایی قانون
valtuuskunta	نمایندگی ، وکالت ، هیات نمایندگان
valtuutettu	امر ، مقتدر ، توانا ، معتبر, نمایندگی دادن ، وکالت دادن ، محول کردن به ، نماینده
valtuuttaa	اجازه دادن ، اختیار دادن ، تصویب کردن, نمایندگی دادن ، وکالت دادن ، محول کردن به ، نماینده, فرمان ، فتوای کلیسایی ، سوگند ، تصویب ، جواز ، تایید رسمی ، دارای مجوز قانونی دانستن ، ضمانت اجرایی معین کردن ، ضمانت اجرایی قانون
valtuuttaminen	نمایندگی ، وکالت ، هیات نمایندگان
valtuutus	سند عندالمطالبه ، گواهی کردن ، تضمین کردن ، گواهی ، حک
valu	چدن ریزی ، ریخته گری ، 
valua	زهکش ، ابگذر ، زهکش فاضل اب ، اب کشیدن از ، زهکشی کردن ، کشیدن  ، زیر اب زدن ، زیر اب, راندن ، رانش ، دایر بودن ، اداره کردن
valuttaa	زهکش ، ابگذر ، زهکش فاضل اب ، اب کشیدن از ، زهکشی کردن ، کشیدن ، زیر اب زدن ، زیر اب
valutus	زهکش ، ابگذر ، زهکش فاضل اب ، اب کشیدن از ، زهکشی کردن ، کشیدن ، زیر اب زدن ، زیر اب, زهکشی ، زیر اب زنی
valuutta	پول رایج ، رواج ، انتشار
valvoa	صندلی ، مقر ، کرسی استادی در دانشگاه ، برکرسی یاصندلی نشاندن, سوق دادن ، منجر شدن ، پیش افت ، تقدم, نظارت کردن ، برنگری کردن ، رسیدگی کردن
valvoja	سرپرست ، همراه ، ملا زم ، مواظب ، وابسته, نگهدار ، نگهبان ، حافظ, ناظر ، سرپرست, کسیکه پاسداری و نظارت میکند ، مراقب
valvomaton	بی مراقبت
valvonta	کنترل
vamma	خسارت ، خسارت زدن, اسیب ، صدمه ، اذیت ، زیان ، ضرر ، خسارت ، اسیب رساندن (به) ، صدمه زدن ، گزند, ازار رساندن ، اسیب زدن به ، ازردن ، اذیت کردن ، جریحه دار کردن ، خسارت رساندن ، اسیب ، ازار ، زیان ، صدمه, اسیب ، صدمه, ضره ، زخم ، اسیب ، ضربه روحی روان اسیب ، روان زخم, پیچانده ، پیچ خورده ، کوک شده ، رزوه شده.(.vi &.vt ، .n) زخم ، جراحت ، جریحه ، مجروح کردن ، زخم زدن
